epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.468,1.61606,1.49982,1.00118,0.33651,0.26294,0.23058,0.12693,1.52013,1.19093,0.95512,0.000302766,0.000302766,0.000302766
2,517.467,1.57919,1.22621,0.97368,0.32347,0.27122,0.24534,0.13302,1.54249,1.18258,0.9533,0.00057578,0.00057578,0.00057578
3,767.386,1.54044,1.17606,0.96603,0.40778,0.29418,0.27573,0.15279,1.45962,1.10982,0.9417,0.000818798,0.000818798,0.000818798
4,1018.82,1.52099,1.13683,0.95867,0.42164,0.30367,0.28986,0.15781,1.46202,1.0759,0.93477,0.000774013,0.000774013,0.000774013
5,1269.1,1.49668,1.10281,0.95194,0.42365,0.31539,0.30759,0.17297,1.42971,1.03476,0.93201,0.000729018,0.000729018,0.000729018
6,1516.44,1.47006,1.06682,0.94393,0.47398,0.30836,0.31601,0.17911,1.40415,1.02475,0.92739,0.000684022,0.000684022,0.000684022
7,1768.26,1.45212,1.04142,0.93755,0.4642,0.33923,0.33493,0.18646,1.39831,0.98456,0.92192,0.000639027,0.000639027,0.000639027
8,2017.24,1.43819,1.01673,0.93683,0.47151,0.33401,0.3374,0.19158,1.37445,0.97756,0.91691,0.000594031,0.000594031,0.000594031
9,2266.84,1.42861,1.00794,0.93485,0.45943,0.34619,0.34337,0.19282,1.37837,0.95877,0.91955,0.000549036,0.000549036,0.000549036
10,2516.9,1.42167,0.99113,0.93008,0.48061,0.35028,0.35297,0.20054,1.37164,0.94977,0.91333,0.00050404,0.00050404,0.00050404
11,2775.65,1.39971,0.98258,0.9271,0.48296,0.34201,0.34179,0.19228,1.38614,0.96681,0.91713,0.000459045,0.000459045,0.000459045
12,3020.31,1.38333,0.95773,0.92479,0.49069,0.3475,0.35249,0.2,1.37092,0.94904,0.91504,0.000414049,0.000414049,0.000414049
13,3260.7,1.37559,0.94328,0.91955,0.48772,0.36238,0.36198,0.20473,1.362,0.92896,0.91235,0.000369054,0.000369054,0.000369054
14,3525.9,1.36351,0.92649,0.91522,0.50484,0.36398,0.36954,0.20943,1.34948,0.92084,0.91015,0.000324058,0.000324058,0.000324058
15,3801.51,1.348,0.90712,0.91368,0.4962,0.36093,0.36764,0.20956,1.34289,0.91833,0.90749,0.000279063,0.000279063,0.000279063
16,4093.96,1.33497,0.89363,0.91009,0.50432,0.36843,0.37834,0.216,1.33327,0.89658,0.90545,0.000234068,0.000234068,0.000234068
17,4421.22,1.32684,0.87728,0.90735,0.50922,0.37376,0.37982,0.21829,1.32359,0.88895,0.90349,0.000189072,0.000189072,0.000189072
18,4722.41,1.31367,0.86307,0.9042,0.50995,0.38011,0.38694,0.2212,1.32217,0.88092,0.90189,0.000144077,0.000144077,0.000144077
19,5114.11,1.29642,0.84892,0.90191,0.5134,0.38016,0.38879,0.22534,1.30875,0.8733,0.89988,9.9081e-05,9.9081e-05,9.9081e-05
20,5521.59,1.29345,0.83534,0.89936,0.51022,0.38515,0.39506,0.22673,1.30395,0.864,0.89934,5.40855e-05,5.40855e-05,5.40855e-05
